ID;Block;BlockDuration;MasksN;Target;Event;Time
s04;3;120;1;0;1;31758
s04;3;120;1;2;0;32075
s04;3;120;1;2;1;32425
s04;3;120;1;0;0;32575
s04;3;120;1;2;0;34943
s04;3;120;1;0;1;35010
s04;3;120;1;2;1;35644
s04;3;120;1;0;0;35694
s04;3;120;1;0;1;40164
s04;3;120;1;2;0;40197
s04;3;120;1;2;1;40998
s04;3;120;1;0;0;41114
s04;3;120;1;2;0;49538
s04;3;120;1;2;1;49554
s04;3;120;1;2;0;49688
s04;3;120;1;0;1;49704
s04;3;120;1;2;1;49988
s04;3;120;1;2;0;50121
s04;3;120;1;2;1;50188
s04;3;120;1;0;0;50321
s04;3;120;1;0;1;51622
s04;3;120;1;2;0;51689
s04;3;120;1;2;1;52039
s04;3;120;1;0;0;52106
s04;3;120;1;2;0;56359
s04;3;120;1;0;1;56376
s04;3;120;1;2;1;56609
s04;3;120;1;0;0;56692
s04;3;120;1;2;0;61562
s04;3;120;1;0;1;61612
s04;3;120;1;2;1;61763
s04;3;120;1;0;0;61813
s04;3;120;1;2;0;62897
s04;3;120;1;0;1;62913
s04;3;120;1;2;1;63030
s04;3;120;1;0;0;63080
s04;3;120;1;2;0;69319
s04;3;120;1;0;1;69369
s04;3;120;1;2;1;69419
s04;3;120;1;0;0;69435
s04;3;120;1;0;1;69519
s04;3;120;1;0;0;69585
s04;3;120;1;2;0;74038
s04;3;120;1;0;1;74089
s04;3;120;1;2;1;74305
s04;3;120;1;0;0;74389
s04;3;120;1;0;1;76423
s04;3;120;1;2;0;76440
s04;3;120;1;2;1;76540
s04;3;120;1;0;0;76624
s04;3;120;1;2;0;79726
s04;3;120;1;0;1;79759
s04;3;120;1;2;1;79792
s04;3;120;1;0;0;79842
s04;3;120;1;2;0;79876
s04;3;120;1;0;1;79892
s04;3;120;1;2;1;79926
s04;3;120;1;0;0;80093
s04;3;120;1;0;1;85464
s04;3;120;1;2;0;85480
s04;3;120;1;0;0;85497
s04;3;120;1;0;1;85547
s04;3;120;1;2;1;85614
s04;3;120;1;0;0;85664
s04;3;120;1;0;1;87115
s04;3;120;1;2;0;87165
s04;3;120;1;2;1;87198
s04;3;120;1;0;0;87232
s04;3;120;1;0;1;90767
s04;3;120;1;2;0;90784
s04;3;120;1;2;1;90817
s04;3;120;1;0;0;90834
s04;3;120;1;0;1;90968
s04;3;120;1;2;0;90984
s04;3;120;1;2;1;91001
s04;3;120;1;0;0;91118
s04;3;120;1;2;0;95220
s04;3;120;1;0;1;95270
s04;3;120;1;2;1;95387
s04;3;120;1;0;0;95437
s04;3;120;1;0;1;99458
s04;3;120;1;2;0;99474
s04;3;120;1;2;1;99541
s04;3;120;1;0;0;99558
s04;3;120;1;0;1;99658
s04;3;120;1;0;0;99708
s04;3;120;1;2;0;102576
s04;3;120;1;0;1;102676
s04;3;120;1;2;1;102726
s04;3;120;1;0;0;102760
s04;3;120;1;0;1;104578
s04;3;120;1;2;0;104694
s04;3;120;1;2;1;104995
s04;3;120;1;0;0;105011
s04;3;120;1;0;1;105195
s04;3;120;1;0;0;105262
s04;3;120;1;2;0;108364
s04;3;120;1;0;1;108380
s04;3;120;1;0;0;108664
s04;3;120;1;2;1;108731
s04;3;120;1;0;1;116453
s04;3;120;1;2;0;116470
s04;3;120;1;2;1;116587
s04;3;120;1;0;0;116603
s04;3;120;1;2;0;117004
s04;3;120;1;0;1;117037
s04;3;120;1;2;1;117304
s04;3;120;1;0;0;117321
s04;3;120;1;0;1;120000
s04;4;120;3;0;0;1125
s04;4;120;3;2;0;7362
