ID;Block;Duration;Aligned;MasksN;Target;Event;Time;SimCount
s02;5;120;0;1;1;1;104460;2
s02;5;120;0;1;0;1;104510;2
s02;5;120;0;1;0;0;107009;1
s02;5;120;0;1;1;0;107159;1
s02;5;120;0;1;0;1;107292;2
s02;5;120;0;1;1;1;107325;2
s02;5;120;0;1;0;0;110175;1
s02;5;120;0;1;0;1;110308;1
s02;5;120;0;1;0;0;113357;3
s02;5;120;0;1;1;0;113407;3
s02;5;120;0;1;2;0;113440;3
s02;5;120;0;1;2;1;113457;3
s02;5;120;0;1;0;1;113491;3
s02;5;120;0;1;1;1;113507;3
s02;5;120;0;1;1;0;116122;1
s02;5;120;0;1;1;1;116273;1
s02;5;120;0;1;0;0;116689;1
s02;5;120;0;1;0;1;116823;1
s02;5;120;0;1;0;0;119005;2
s02;5;120;0;1;1;0;119072;2
s02;5;120;0;1;1;1;119322;2
s02;5;120;0;1;0;1;119338;2
s02;6;120;1;3;1;0;11670;1
s02;6;120;1;3;1;1;11804;1
s02;6;120;1;3;1;0;15386;1
s02;6;120;1;3;1;1;15485;1
s02;6;120;1;3;0;0;18385;1
s02;6;120;1;3;0;1;18517;1
s02;6;120;1;3;1;0;21516;1
s02;6;120;1;3;1;1;21849;1
s02;6;120;1;3;1;0;23633;2
s02;6;120;1;3;0;0;23649;2
s02;6;120;1;3;1;1;24132;2
s02;6;120;1;3;0;1;24148;2
s02;6;120;1;3;1;0;27081;1
s02;6;120;1;3;1;1;27248;1
s02;6;120;1;3;1;0;28580;1
s02;6;120;1;3;1;1;28747;1
s02;6;120;1;3;0;0;30047;1
s02;6;120;1;3;0;1;30163;1
s02;6;120;1;3;1;0;30779;2
s02;6;120;1;3;0;0;30796;2
s02;6;120;1;3;1;1;30946;2
s02;6;120;1;3;0;1;30963;2
s02;6;120;1;3;0;0;33362;1
s02;6;120;1;3;0;1;33495;1
s02;6;120;1;3;1;0;35012;1
s02;6;120;1;3;1;1;35411;1
s02;6;120;1;3;0;0;36893;1
s02;6;120;1;3;0;1;37027;1
s02;6;120;1;3;1;0;38943;1
s02;6;120;1;3;1;1;39093;1
s02;6;120;1;3;0;0;39326;1
s02;6;120;1;3;0;1;39443;1
s02;6;120;1;3;0;0;42075;3
s02;6;120;1;3;2;0;42092;3
s02;6;120;1;3;1;0;42108;3
s02;6;120;1;3;2;1;42209;3
s02;6;120;1;3;1;1;42225;3
s02;6;120;1;3;0;1;42259;3
s02;6;120;1;3;1;0;44958;1
s02;6;120;1;3;1;1;45107;1
s02;6;120;1;3;0;0;46940;1
s02;6;120;1;3;0;1;47156;1
s02;6;120;1;3;1;0;50772;1
s02;6;120;1;3;1;1;50872;1
s02;6;120;1;3;1;0;53721;1
s02;6;120;1;3;1;1;53854;1
s02;6;120;1;3;0;0;56353;1
s02;6;120;1;3;0;1;56470;1
s02;6;120;1;3;1;0;59185;1
s02;6;120;1;3;1;1;59285;1
s02;6;120;1;3;0;0;59818;1
s02;6;120;1;3;0;1;59952;1
s02;6;120;1;3;1;0;61251;1
s02;6;120;1;3;1;1;61684;1
s02;6;120;1;3;0;0;65383;2
s02;6;120;1;3;2;0;65416;2
s02;6;120;1;3;2;1;65583;2
s02;6;120;1;3;0;1;65599;2
s02;6;120;1;3;0;0;67699;2
s02;6;120;1;3;1;0;67749;2
s02;6;120;1;3;0;1;67882;2
s02;6;120;1;3;1;1;67898;2
s02;6;120;1;3;0;0;69865;1
s02;6;120;1;3;0;1;69998;1
s02;6;120;1;3;0;0;70764;2
s02;6;120;1;3;1;0;70798;2
s02;6;120;1;3;1;1;70914;2
s02;6;120;1;3;0;1;70930;2
s02;6;120;1;3;1;0;72513;2
s02;6;120;1;3;0;0;72530;2
s02;6;120;1;3;1;1;72647;2
s02;6;120;1;3;0;1;72680;2
s02;6;120;1;3;1;0;74013;1
s02;6;120;1;3;1;1;74396;1
s02;6;120;1;3;0;0;76478;3
s02;6;120;1;3;1;0;76496;3
s02;6;120;1;3;2;0;76529;3
s02;6;120;1;3;1;1;76712;3
s02;6;120;1;3;2;1;76728;3
s02;6;120;1;3;0;1;76745;3
s02;6;120;1;3;0;0;80011;1
s02;6;120;1;3;0;1;80211;1
s02;6;120;1;3;1;0;84142;1
s02;6;120;1;3;1;1;84343;1
s02;6;120;1;3;1;0;85908;1
s02;6;120;1;3;1;1;86641;1
s02;6;120;1;3;1;0;88425;1
s02;6;120;1;3;1;1;88591;1
s02;6;120;1;3;0;0;89640;1
s02;6;120;1;3;0;1;89806;1
s02;6;120;1;3;0;0;91956;1
s02;6;120;1;3;0;1;92090;1
s02;6;120;1;3;1;0;94272;1
s02;6;120;1;3;1;1;94455;1
s02;6;120;1;3;1;0;98787;1
s02;6;120;1;3;1;1;98987;1
s02;6;120;1;3;0;0;100869;1
s02;6;120;1;3;0;1;101003;1
s02;6;120;1;3;0;0;102435;1
s02;6;120;1;3;0;1;102652;1
s02;6;120;1;3;1;0;105184;1
s02;6;120;1;3;1;1;105368;1
s02;6;120;1;3;1;0;113931;1
s02;6;120;1;3;0;0;114131;1
s02;6;120;1;3;0;1;114281;2
s02;6;120;1;3;1;1;114314;2
s02;6;120;1;3;1;0;117096;1
s02;6;120;1;3;1;1;117263;1
s02;6;120;1;3;1;0;118613;2
s02;6;120;1;3;0;0;118646;2
s02;6;120;1;3;1;1;118779;2
s02;6;120;1;3;0;1;118812;2
s02;7;120;0;3;1;0;12785;1
s02;7;120;0;3;1;1;12937;1
s02;7;120;0;3;0;0;14502;1
s02;7;120;0;3;0;1;14668;1
s02;7;120;0;3;0;0;16851;1
s02;7;120;0;3;0;1;17001;1
s02;7;120;0;3;0;0;19600;3
s02;7;120;0;3;2;0;19633;3
s02;7;120;0;3;1;0;19650;3
s02;7;120;0;3;1;1;19683;3
s02;7;120;0;3;2;1;19716;3
s02;7;120;0;3;0;1;19750;3
s02;7;120;0;3;1;0;55903;2
s02;7;120;0;3;0;0;55919;2
s02;7;120;0;3;1;1;56086;2
s02;7;120;0;3;0;1;56119;2
s02;7;120;0;3;1;0;62000;1
s02;7;120;0;3;1;1;62167;1
s02;7;120;0;3;0;0;63817;1
s02;7;120;0;3;1;0;64533;1
s02;7;120;0;3;0;1;64683;1
s02;7;120;0;3;1;1;64799;1
s02;7;120;0;3;1;0;66582;2
s02;7;120;0;3;0;0;66616;2
s02;7;120;0;3;1;1;67449;2
s02;7;120;0;3;0;1;67465;2
s02;7;120;0;3;1;0;69264;1
s02;7;120;0;3;1;1;69830;1
s02;7;120;0;3;2;0;69948;1
s02;7;120;0;3;2;1;70198;1
s02;7;120;0;3;0;0;70547;1
s02;7;120;0;3;0;1;70797;1
s02;7;120;0;3;1;0;71630;1
s02;7;120;0;3;1;1;72230;1
s02;7;120;0;3;0;0;73596;1
s02;7;120;0;3;0;1;73912;1
s02;7;120;0;3;1;0;76744;1
s02;7;120;0;3;1;1;76945;1
s02;7;120;0;3;0;0;77411;1
s02;7;120;0;3;0;1;77594;1
s02;7;120;0;3;0;0;78811;1
s02;7;120;0;3;0;1;79044;1
s02;7;120;0;3;0;0;81209;1
s02;7;120;0;3;0;1;81426;1
s02;7;120;0;3;1;0;81577;1
s02;7;120;0;3;1;1;81709;1
s02;7;120;0;3;1;0;98886;1
s02;7;120;0;3;1;1;99419;1
s02;7;120;0;3;1;0;111482;2
s02;7;120;0;3;0;0;111498;2
s02;7;120;0;3;1;1;111581;2
s02;7;120;0;3;0;1;111615;2
s02;7;120;0;3;0;0;113764;1
s02;7;120;0;3;0;1;113898;1
s02;7;120;0;3;0;0;118029;2
s02;7;120;0;3;1;0;118045;2
s02;7;120;0;3;1;1;118146;2
s02;7;120;0;3;0;1;118179;2
s02;8;120;1;1;1;0;6789;1
s02;8;120;1;1;1;1;6955;1
s02;8;120;1;1;1;0;11103;1
s02;8;120;1;1;0;0;11221;2
s02;8;120;1;1;2;0;11237;2
s02;8;120;1;1;1;1;11420;3
s02;8;120;1;1;2;1;11437;3
s02;8;120;1;1;0;1;11454;3
s02;8;120;1;1;1;0;14203;1
s02;8;120;1;1;0;0;14352;1
s02;8;120;1;1;1;1;14569;2
s02;8;120;1;1;0;1;14586;2
s02;8;120;1;1;0;0;16934;1
s02;8;120;1;1;1;0;17018;1
s02;8;120;1;1;0;1;17385;2
s02;8;120;1;1;1;1;17401;2
s02;8;120;1;1;1;0;18817;1
s02;8;120;1;1;1;1;19101;1
s02;8;120;1;1;1;0;21583;3
s02;8;120;1;1;0;0;21616;3
s02;8;120;1;1;2;0;21633;3
s02;8;120;1;1;1;1;21783;3
s02;8;120;1;1;0;1;21800;3
s02;8;120;1;1;2;1;21816;3
s02;8;120;1;1;1;0;23133;1
s02;8;120;1;1;1;1;23266;1
s02;8;120;1;1;0;0;24632;1
s02;8;120;1;1;0;1;24766;1
s02;8;120;1;1;0;0;25065;1
s02;8;120;1;1;0;1;25182;1
s02;8;120;1;1;1;0;25565;2
s02;8;120;1;1;0;0;25599;2
s02;8;120;1;1;1;1;25665;2
s02;8;120;1;1;0;1;25715;2
s02;8;120;1;1;0;0;27147;2
s02;8;120;1;1;1;0;27181;2
s02;8;120;1;1;0;1;27381;2
s02;8;120;1;1;1;1;27397;2
s02;8;120;1;1;1;0;28230;2
s02;8;120;1;1;2;0;28247;2
s02;8;120;1;1;1;1;28297;1
s02;8;120;1;1;2;1;28464;1
s02;8;120;1;1;1;0;30229;1
s02;8;120;1;1;0;0;31097;1
s02;8;120;1;1;1;1;31496;2
s02;8;120;1;1;0;1;31513;2
s02;8;120;1;1;0;0;33278;1
s02;8;120;1;1;0;1;33612;1
s02;8;120;1;1;1;0;34212;1
s02;8;120;1;1;1;1;34345;1
s02;8;120;1;1;0;0;35128;1
s02;8;120;1;1;0;1;35295;1
s02;8;120;1;1;1;0;35545;1
s02;8;120;1;1;2;0;35644;2
s02;8;120;1;1;0;0;35678;2
s02;8;120;1;1;1;1;35845;3
s02;8;120;1;1;2;1;35861;3
s02;8;120;1;1;0;1;35894;3
s02;8;120;1;1;0;0;37511;1
s02;8;120;1;1;1;0;37610;1
s02;8;120;1;1;1;1;37710;1
s02;8;120;1;1;0;1;37777;1
s02;8;120;1;1;1;0;40459;1
s02;8;120;1;1;1;1;40642;1
s02;8;120;1;1;1;0;43575;1
s02;8;120;1;1;1;1;43758;1
s02;8;120;1;1;2;0;45707;3
s02;8;120;1;1;0;0;45740;3
s02;8;120;1;1;1;0;45757;3
s02;8;120;1;1;1;1;45841;3
s02;8;120;1;1;2;1;45857;3
s02;8;120;1;1;0;1;45874;3
s02;8;120;1;1;0;0;47656;1
s02;8;120;1;1;0;1;47856;1
s02;8;120;1;1;1;0;49223;2
