ID;Block;Duration;Aligned;Target;Event;Time
s02;1;20;0;0;1;3937
s02;1;20;0;2;1;3964
s02;1;20;0;1;1;3978
s02;1;20;0;0;0;8562
s02;1;20;0;1;0;8576
s02;1;20;0;2;0;8603
s02;1;20;0;1;1;10495
s02;1;20;0;2;1;10508
s02;1;20;0;0;1;10521
s02;1;20;0;1;0;14293
s02;1;20;0;1;1;15706
s02;1;20;0;1;0;18212
s02;1;20;0;2;0;18265
s02;1;20;0;2;1;19651
s02;1;20;0;1;1;19691
s02;2;20;1;1;0;2682
s02;2;20;1;1;1;4014
s02;2;20;1;0;0;6307
s02;2;20;1;2;0;6333
s02;2;20;1;0;1;8145
s02;2;20;1;2;1;8172
s02;2;20;1;0;0;12211
s02;2;20;1;0;1;14756
s02;2;20;1;0;0;18674
s02;2;20;1;1;0;18701
s02;2;20;1;2;0;18727
s02;2;20;1;0;1;20000
s02;2;20;1;1;1;20000
s02;2;20;1;2;1;20000
s02;3;120;0;2;0;3298
s02;3;120;0;1;0;3348
s02;3;120;0;2;1;4898
s02;3;120;0;1;1;4931
s02;3;120;0;0;0;8796
s02;3;120;0;2;0;8813
s02;3;120;0;1;0;8830
s02;3;120;0;1;1;10330
s02;3;120;0;2;1;10363
s02;3;120;0;0;1;10379
s02;3;120;0;0;0;14294
s02;3;120;0;0;1;15760
s02;3;120;0;0;0;19309
s02;3;120;0;2;0;19326
s02;3;120;0;1;0;19359
s02;3;120;0;2;1;19376
s02;3;120;0;1;1;19392
s02;3;120;0;1;0;19442
s02;3;120;0;0;1;20959
s02;3;120;0;1;1;20992
s02;3;120;0;0;0;25240
s02;3;120;0;1;0;25273
s02;3;120;0;2;0;25290
s02;3;120;0;1;1;27790
s02;3;120;0;2;1;27806
s02;3;120;0;0;1;27823
s02;3;120;0;0;0;30837
s02;3;120;0;1;0;30872
s02;3;120;0;2;0;30888
s02;3;120;0;2;1;33071
s02;3;120;0;1;1;33104
s02;3;120;0;0;1;33137
s02;3;120;0;1;0;36835
s02;3;120;0;0;0;36869
s02;3;120;0;2;0;36885
s02;3;120;0;2;1;38652
s02;3;120;0;1;1;38685
s02;3;120;0;0;1;38835
s02;3;120;0;2;0;42751
s02;3;120;0;2;1;44583
s02;3;120;0;1;0;48415
s02;3;120;0;1;1;50414
s02;3;120;0;0;0;54279
s02;3;120;0;1;0;54345
s02;3;120;0;2;0;54379
s02;3;120;0;1;1;55978
s02;3;120;0;0;1;56011
s02;3;120;0;2;1;56029
s02;3;120;0;1;0;59127
s02;3;120;0;2;0;59144
s02;3;120;0;0;0;59177
s02;3;120;0;1;1;61293
s02;3;120;0;0;1;61327
s02;3;120;0;2;1;61343
s02;3;120;0;1;0;64492
s02;3;120;0;2;0;64508
s02;3;120;0;0;0;64525
s02;3;120;0;2;1;67125
s02;3;120;0;1;1;67141
s02;3;120;0;0;1;67158
s02;3;120;0;1;0;71222
s02;3;120;0;2;0;71256
s02;3;120;0;1;1;73772
s02;3;120;0;2;1;73805
s02;3;120;0;2;0;76170
s02;3;120;0;1;0;76204
s02;3;120;0;0;0;76220
s02;3;120;0;1;1;78070
s02;3;120;0;0;1;78086
s02;3;120;0;2;1;78103
s02;3;120;0;1;0;82119
s02;3;120;0;2;0;82135
s02;3;120;0;2;1;83485
s02;3;120;0;1;1;83501
s02;3;120;0;0;0;87167
s02;3;120;0;0;1;88466
s02;3;120;0;1;0;92398
s02;3;120;0;0;0;92481
s02;3;120;0;2;0;92498
s02;3;120;0;1;1;94480
s02;3;120;0;2;1;94497
s02;3;120;0;0;1;94514
s02;3;120;0;2;0;96747
s02;3;120;0;0;0;96763
s02;3;120;0;1;0;96796
s02;3;120;0;1;1;98312
s02;3;120;0;2;1;98329
s02;3;120;0;0;1;98345
s02;3;120;0;1;0;101245
s02;3;120;0;0;0;101278
s02;3;120;0;1;1;103543
s02;3;120;0;0;1;103560
s02;3;120;0;2;0;107543
s02;3;120;0;1;0;107576
s02;3;120;0;1;1;109875
s02;3;120;0;2;1;109908
s02;3;120;0;1;0;112907
s02;3;120;0;2;0;112957
s02;3;120;0;1;1;112990
s02;3;120;0;2;1;115123
s02;3;120;0;2;0;117372
s02;3;120;0;1;0;117405
s02;3;120;0;0;0;117421
s02;3;120;0;2;1;119471
s02;3;120;0;1;1;119488
s02;3;120;0;0;1;119504
s02;4;120;1;1;0;2967
s02;4;120;1;0;0;3000
s02;4;120;1;1;1;5415
s02;4;120;1;0;1;5433
s02;4;120;1;1;0;9247
s02;4;120;1;0;0;9264
s02;4;120;1;2;0;9297
s02;4;120;1;2;1;11796
s02;4;120;1;1;1;11814
s02;4;120;1;0;1;11830
s02;4;120;1;1;0;15729
s02;4;120;1;2;0;15762
s02;4;120;1;0;0;15778
s02;4;120;1;1;1;18160
s02;4;120;1;2;1;18178
s02;4;120;1;0;1;18194
s02;4;120;1;2;0;22009
s02;4;120;1;0;0;22042
s02;4;120;1;1;0;22059
s02;4;120;1;1;1;24142
s02;4;120;1;2;1;24158
s02;4;120;1;0;1;24175
s02;4;120;1;1;0;28191
s02;4;120;1;1;1;29406
s02;4;120;1;2;0;32889
s02;4;120;1;0;0;32905
s02;4;120;1;1;0;32922
s02;4;120;1;2;1;35355
s02;4;120;1;1;1;35371
s02;4;120;1;0;1;35388
s02;4;120;1;2;0;38736
s02;4;120;1;2;1;40568
s02;4;120;1;2;0;44534
s02;4;120;1;0;0;44567
s02;4;120;1;2;1;46200
s02;4;120;1;0;1;46233
s02;4;120;1;0;0;48966
s02;4;120;1;0;1;51198
s02;4;120;1;2;0;54847
s02;4;120;1;1;0;54880
s02;4;120;1;0;0;54897
s02;4;120;1;2;1;57013
s02;4;120;1;1;1;57029
s02;4;120;1;0;1;57046
s02;4;120;1;2;0;60827
s02;4;120;1;0;0;60861
s02;4;120;1;1;0;60895
s02;4;120;1;1;1;63344
s02;4;120;1;2;1;63377
s02;4;120;1;0;1;63394
