ID;Block;ConditionLabel;Time;Target;Event;Key;EventLabel
s09;4;2 different masks;38.78;1;0;K;Pressed
s09;4;2 different masks;38.85;0;0;J;Pressed
s09;4;2 different masks;39.25;1;1;K;Released
s09;4;2 different masks;39.26;0;1;J;Released
s09;4;2 different masks;43.67;1;0;K;Pressed
s09;4;2 different masks;43.75;0;0;J;Pressed
s09;4;2 different masks;44.03;0;1;J;Released
s09;4;2 different masks;44.04;1;1;K;Released
s09;4;2 different masks;47.25;0;0;J;Pressed
s09;4;2 different masks;47.26;1;0;K;Pressed
s09;4;2 different masks;47.67;0;1;J;Released
s09;4;2 different masks;47.67;1;1;K;Released
s09;4;2 different masks;48.68;0;0;J;Pressed
s09;4;2 different masks;48.68;1;0;K;Pressed
s09;4;2 different masks;49.5;0;1;J;Released
s09;4;2 different masks;49.53;1;1;K;Released
s09;4;2 different masks;54.62;0;0;J;Pressed
s09;4;2 different masks;54.67;1;0;K;Pressed
s09;4;2 different masks;55.64;0;1;J;Released
s09;4;2 different masks;55.64;1;1;K;Released
s09;4;2 different masks;57.7;0;0;J;Pressed
s09;4;2 different masks;57.73;1;0;K;Pressed
s09;4;2 different masks;57.95;0;1;J;Released
s09;4;2 different masks;57.96;1;1;K;Released
s09;4;2 different masks;64.14;0;0;J;Pressed
s09;4;2 different masks;64.14;1;0;K;Pressed
s09;4;2 different masks;64.45;1;1;K;Released
s09;4;2 different masks;64.54;0;1;J;Released
s09;4;2 different masks;67.35;0;0;J;Pressed
s09;4;2 different masks;67.35;1;0;K;Pressed
s09;4;2 different masks;67.73;0;1;J;Released
s09;4;2 different masks;67.73;1;1;K;Released
s09;4;2 different masks;68.79;0;0;J;Pressed
s09;4;2 different masks;68.79;1;0;K;Pressed
s09;4;2 different masks;69.04;0;1;J;Released
s09;4;2 different masks;69.06;1;1;K;Released
s09;4;2 different masks;71.5;0;0;J;Pressed
s09;4;2 different masks;71.51;1;0;K;Pressed
s09;4;2 different masks;72.67;0;1;J;Released
s09;4;2 different masks;72.67;1;1;K;Released
s09;4;2 different masks;73.57;0;0;J;Pressed
s09;4;2 different masks;73.57;1;0;K;Pressed
s09;4;2 different masks;74.57;1;1;K;Released
s09;4;2 different masks;74.59;0;1;J;Released
s09;4;2 different masks;75.68;0;0;J;Pressed
s09;4;2 different masks;75.68;1;0;K;Pressed
s09;4;2 different masks;77.5;1;1;K;Released
s09;4;2 different masks;77.53;0;1;J;Released
s09;4;2 different masks;80.07;0;0;J;Pressed
s09;4;2 different masks;80.07;1;0;K;Pressed
s09;4;2 different masks;80.95;0;1;J;Released
s09;4;2 different masks;80.96;1;1;K;Released
