ID;Block;Duration;Aligned;MasksN;Target;Event;Time
s02;5;120;0;1;1;0;107159
s02;5;120;0;1;0;1;107292
s02;5;120;0;1;1;1;107325
s02;5;120;0;1;0;0;110175
s02;5;120;0;1;0;1;110308
s02;5;120;0;1;0;0;113357
s02;5;120;0;1;1;0;113407
s02;5;120;0;1;2;0;113440
s02;5;120;0;1;2;1;113457
s02;5;120;0;1;0;1;113491
s02;5;120;0;1;1;1;113507
s02;5;120;0;1;1;0;116122
s02;5;120;0;1;1;1;116273
s02;5;120;0;1;0;0;116689
s02;5;120;0;1;0;1;116823
s02;5;120;0;1;0;0;119005
s02;5;120;0;1;1;0;119072
s02;5;120;0;1;1;1;119322
s02;5;120;0;1;0;1;119338
s02;6;120;1;3;1;0;11670
s02;6;120;1;3;1;1;11804
s02;6;120;1;3;1;0;15386
s02;6;120;1;3;1;1;15485
s02;6;120;1;3;0;0;18385
s02;6;120;1;3;0;1;18517
s02;6;120;1;3;1;0;21516
s02;6;120;1;3;1;1;21849
s02;6;120;1;3;1;0;23633
s02;6;120;1;3;0;0;23649
s02;6;120;1;3;1;1;24132
s02;6;120;1;3;0;1;24148
s02;6;120;1;3;1;0;27081
s02;6;120;1;3;1;1;27248
s02;6;120;1;3;1;0;28580
s02;6;120;1;3;1;1;28747
s02;6;120;1;3;0;0;30047
s02;6;120;1;3;0;1;30163
s02;6;120;1;3;1;0;30779
s02;6;120;1;3;0;0;30796
s02;6;120;1;3;1;1;30946
s02;6;120;1;3;0;1;30963
s02;6;120;1;3;0;0;33362
s02;6;120;1;3;0;1;33495
s02;6;120;1;3;1;0;35012
s02;6;120;1;3;1;1;35411
s02;6;120;1;3;0;0;36893
s02;6;120;1;3;0;1;37027
s02;6;120;1;3;1;0;38943
s02;6;120;1;3;1;1;39093
s02;6;120;1;3;0;0;39326
s02;6;120;1;3;0;1;39443
s02;6;120;1;3;0;0;42075
s02;6;120;1;3;2;0;42092
s02;6;120;1;3;1;0;42108
s02;6;120;1;3;2;1;42209
s02;6;120;1;3;1;1;42225
s02;6;120;1;3;0;1;42259
s02;6;120;1;3;1;0;44958
s02;6;120;1;3;1;1;45107
s02;6;120;1;3;0;0;46940
s02;6;120;1;3;0;1;47156
s02;6;120;1;3;1;0;50772
s02;6;120;1;3;1;1;50872
s02;6;120;1;3;1;0;53721
s02;6;120;1;3;1;1;53854
s02;6;120;1;3;0;0;56353
s02;6;120;1;3;0;1;56470
s02;6;120;1;3;1;0;59185
s02;6;120;1;3;1;1;59285
s02;6;120;1;3;0;0;59818
s02;6;120;1;3;0;1;59952
s02;6;120;1;3;1;0;61251
s02;6;120;1;3;1;1;61684
s02;6;120;1;3;0;0;65383
s02;6;120;1;3;2;0;65416
s02;6;120;1;3;2;1;65583
s02;6;120;1;3;0;1;65599
s02;6;120;1;3;0;0;67699
s02;6;120;1;3;1;0;67749
s02;6;120;1;3;0;1;67882
s02;6;120;1;3;1;1;67898
s02;6;120;1;3;0;0;69865
s02;6;120;1;3;0;1;69998
